model,case,dice,hd95,avd,recall,precision,f1,gt_vol,pred_vol,vol_ratio,tp,fp,fn
DS001_ResEncL_3D,MSL_0094,0.802120,38.3275,0.124625,0.852102,0.757677,0.802120,1332,1498,1.124625,1135,363,197
DS001_ResEncL_3D,MSL_0095,0.650758,23.5584,0.278364,0.560184,0.776270,0.650758,5209,3759,0.721636,2918,841,2291
DS001_ResEncL_3D,MSL_0096,0.581644,41.5423,0.453250,0.449829,0.822732,0.581644,1754,959,0.546750,789,170,965
DS001_ResEncL_3D,MSL_0097,0.702326,14.4568,0.383035,0.567818,0.920340,0.702326,42098,25973,0.616965,23904,2069,18194
DS001_ResEncL_3D,MSL_0098,0.582758,28.5218,0.420242,0.460308,0.793966,0.582758,6689,3878,0.579758,3079,799,3610
DS001_ResEncL_3D,MSL_0099,0.429884,16.2936,0.278818,0.369954,0.512983,0.429884,2403,1733,0.721182,889,844,1514
DS001_ResEncL_3D,MSL_0100,0.596824,25.0000,0.756354,0.822530,0.468316,0.596824,6649,11678,1.756354,5469,6209,1180
DS001_ResEncL_3D,MSL_0101,0.700898,6.0000,0.186788,0.766357,0.645741,0.700898,4738,5623,1.186788,3631,1992,1107
DS001_ResEncL_3D,MSL_0102,0.719053,8.7750,0.101148,0.682688,0.759511,0.719053,4182,3759,0.898852,2855,904,1327
DS001_ResEncL_3D,MSL_0103,0.783342,3.6124,0.042985,0.766506,0.800934,0.783342,2908,2783,0.957015,2229,554,679
DS001_ResEncL_3D,MSL_0104,0.702221,27.0518,0.184034,0.637605,0.781411,0.702221,4760,3884,0.815966,3035,849,1725
DS001_ResEncL_3D,MSL_0105,0.778627,3.6056,0.031613,0.766319,0.791336,0.778627,25338,24537,0.968387,19417,5120,5921
DS001_ResEncL_3D,MSL_0106,0.696566,10.2956,0.078049,0.669382,0.726050,0.696566,16938,15616,0.921951,11338,4278,5600
DS001_ResEncL_3D,MSL_0107,0.722785,7.0000,0.168637,0.783730,0.670636,0.722785,23429,27380,1.168637,18362,9018,5067
DS001_ResEncL_3D,MSL_0108,0.433530,32.9545,0.338411,0.360174,0.544408,0.433530,919,608,0.661589,331,277,588
DS001_ResEncL_3D,MSL_0109,0.819540,18.1037,0.012346,0.814481,0.824662,0.819540,5994,5920,0.987654,4882,1038,1112
DS001_ResEncL_3D,MSL_0110,0.636525,10.6771,0.895814,0.921629,0.486139,0.636525,9723,18433,1.895814,8961,9472,762
DS001_ResEncL_3D,MSL_0111,0.636492,8.4908,0.361676,0.751594,0.551963,0.636492,3293,4484,1.361676,2475,2009,818
DS001_ResEncL_3D,MSL_0112,0.762814,8.6603,0.257305,0.664676,0.894952,0.762814,32992,24503,0.742695,21929,2574,11063
DS001_ResEncL_3D,MSL_0113,0.669664,5.9161,0.378257,0.543012,0.873369,0.669664,12206,7589,0.621743,6628,961,5578
DS001_ResEncL_3D,MSL_0114,0.686500,8.6023,0.028398,0.696247,0.677022,0.686500,1972,2028,1.028398,1373,655,599
DS001_ResEncL_3D,MSL_0115,0.732961,13.7550,0.239548,0.645171,0.848406,0.732961,9568,7276,0.760452,6173,1103,3395
DS001_ResEncL_3D_TTA,MSL_0094,0.847494,36.2215,0.111862,0.894895,0.804862,0.847494,1332,1481,1.111862,1192,289,140
DS001_ResEncL_3D_TTA,MSL_0095,0.656820,24.0416,0.284316,0.563448,0.787285,0.656820,5209,3728,0.715684,2935,793,2274
DS001_ResEncL_3D_TTA,MSL_0096,0.625740,30.9191,0.458381,0.482326,0.890526,0.625740,1754,950,0.541619,846,104,908
DS001_ResEncL_3D_TTA,MSL_0097,0.693340,14.5945,0.410661,0.550976,0.934905,0.693340,42098,24810,0.589339,23195,1615,18903
DS001_ResEncL_3D_TTA,MSL_0098,0.583516,28.6365,0.427418,0.458813,0.801305,0.583516,6689,3830,0.572582,3069,761,3620
DS001_ResEncL_3D_TTA,MSL_0099,0.416667,16.0810,0.312110,0.351644,0.511192,0.416667,2403,1653,0.687890,845,808,1558
DS001_ResEncL_3D_TTA,MSL_0100,0.611844,23.9374,0.679350,0.819672,0.488089,0.611844,6649,11166,1.679350,5450,5716,1199
DS001_ResEncL_3D_TTA,MSL_0101,0.704301,6.1644,0.134867,0.751794,0.662451,0.704301,4738,5377,1.134867,3562,1815,1176
DS001_ResEncL_3D_TTA,MSL_0102,0.716855,11.1803,0.138690,0.667145,0.774570,0.716855,4182,3602,0.861310,2790,812,1392
DS001_ResEncL_3D_TTA,MSL_0103,0.786119,5.0000,0.057772,0.763411,0.810219,0.786119,2908,2740,0.942228,2220,520,688
DS001_ResEncL_3D_TTA,MSL_0104,0.706949,28.9723,0.192017,0.639076,0.790952,0.706949,4760,3846,0.807983,3042,804,1718
DS001_ResEncL_3D_TTA,MSL_0105,0.784326,3.7417,0.046018,0.766280,0.803243,0.784326,25338,24172,0.953982,19416,4756,5922
DS001_ResEncL_3D_TTA,MSL_0106,0.699723,11.0905,0.146121,0.648601,0.759593,0.699723,16938,14463,0.853879,10986,3477,5952
DS001_ResEncL_3D_TTA,MSL_0107,0.734640,5.9161,0.147936,0.788979,0.687302,0.734640,23429,26895,1.147936,18485,8410,4944
DS001_ResEncL_3D_TTA,MSL_0108,0.431675,31.3408,0.447225,0.335147,0.606299,0.431675,919,508,0.552775,308,200,611
DS001_ResEncL_3D_TTA,MSL_0109,0.825151,10.5827,0.039206,0.808976,0.841986,0.825151,5994,5759,0.960794,4849,910,1145
DS001_ResEncL_3D_TTA,MSL_0110,0.637058,9.1405,0.869176,0.913915,0.488940,0.637058,9723,18174,1.869176,8886,9288,837
DS001_ResEncL_3D_TTA,MSL_0111,0.648232,9.0000,0.284239,0.740358,0.576496,0.648232,3293,4229,1.284239,2438,1791,855
DS001_ResEncL_3D_TTA,MSL_0112,0.774176,4.2485,0.306529,0.655523,0.945277,0.774176,32992,22879,0.693471,21627,1252,11365
DS001_ResEncL_3D_TTA,MSL_0113,0.652212,9.0000,0.424300,0.513846,0.892557,0.652212,12206,7027,0.575700,6272,755,5934
DS001_ResEncL_3D_TTA,MSL_0114,0.685585,9.1842,0.019270,0.692191,0.679104,0.685585,1972,2010,1.019270,1365,645,607
DS001_ResEncL_3D_TTA,MSL_0115,0.735185,12.9788,0.287521,0.629494,0.883526,0.735185,9568,6817,0.712479,6023,794,3545
DS001_DS002_ResEncL_3D_TTA,MSL_0094,0.601712,46.6310,0.542793,0.765015,0.495864,0.601712,1332,2055,1.542793,1019,1036,313
DS001_DS002_ResEncL_3D_TTA,MSL_0095,0.556669,33.7105,0.390862,0.447879,0.735266,0.556669,5209,3173,0.609138,2333,840,2876
DS001_DS002_ResEncL_3D_TTA,MSL_0096,0.572243,50.8035,0.000570,0.572406,0.572080,0.572243,1754,1755,1.000570,1004,751,750
DS001_DS002_ResEncL_3D_TTA,MSL_0097,0.482582,26.2488,0.645090,0.326928,0.921157,0.482582,42098,14941,0.354910,13763,1178,28335
DS001_DS002_ResEncL_3D_TTA,MSL_0098,0.512661,29.5872,0.370459,0.417701,0.663500,0.512661,6689,4211,0.629541,2794,1417,3895
DS001_DS002_ResEncL_3D_TTA,MSL_0099,0.343244,35.3907,0.096546,0.326675,0.361585,0.343244,2403,2171,0.903454,785,1386,1618
DS001_DS002_ResEncL_3D_TTA,MSL_0100,0.538536,27.7831,0.134456,0.502331,0.580365,0.538536,6649,5755,0.865544,3340,2415,3309
DS001_DS002_ResEncL_3D_TTA,MSL_0101,0.438255,27.9401,0.393415,0.352047,0.580376,0.438255,4738,2874,0.606585,1668,1206,3070
DS001_DS002_ResEncL_3D_TTA,MSL_0102,0.596865,14.0357,0.383070,0.482544,0.782171,0.596865,4182,2580,0.616930,2018,562,2164
DS001_DS002_ResEncL_3D_TTA,MSL_0103,0.636007,32.8245,0.190853,0.696699,0.585042,0.636007,2908,3463,1.190853,2026,1437,882
DS001_DS002_ResEncL_3D_TTA,MSL_0104,0.607370,34.5673,0.084454,0.581723,0.635383,0.607370,4760,4358,0.915546,2769,1589,1991
DS001_DS002_ResEncL_3D_TTA,MSL_0105,0.644274,14.4914,0.358552,0.528771,0.824340,0.644274,25338,16253,0.641448,13398,2855,11940
DS001_DS002_ResEncL_3D_TTA,MSL_0106,0.604306,18.7029,0.371000,0.492207,0.782523,0.604306,16938,10654,0.629000,8337,2317,8601
DS001_DS002_ResEncL_3D_TTA,MSL_0107,0.633622,14.7648,0.317427,0.533057,0.780953,0.633622,23429,15992,0.682573,12489,3503,10940
DS001_DS002_ResEncL_3D_TTA,MSL_0108,0.160997,53.9907,0.270947,0.182807,0.143836,0.160997,919,1168,1.270947,168,1000,751
DS001_DS002_ResEncL_3D_TTA,MSL_0109,0.697915,16.1508,0.255923,0.608609,0.817937,0.697915,5994,4460,0.744077,3648,812,2346
DS001_DS002_ResEncL_3D_TTA,MSL_0110,0.643593,10.7238,0.496143,0.803250,0.536880,0.643593,9723,14547,1.496143,7810,6737,1913
DS001_DS002_ResEncL_3D_TTA,MSL_0111,0.428777,32.2645,0.114789,0.453386,0.406701,0.428777,3293,3671,1.114789,1493,2178,1800
DS001_DS002_ResEncL_3D_TTA,MSL_0112,0.327563,17.9165,0.765610,0.202170,0.862537,0.327563,32992,7733,0.234390,6670,1063,26322
DS001_DS002_ResEncL_3D_TTA,MSL_0113,0.550109,18.7083,0.463952,0.422497,0.788171,0.550109,12206,6543,0.536048,5157,1386,7049
DS001_DS002_ResEncL_3D_TTA,MSL_0114,0.557569,17.0762,0.181034,0.507099,0.619195,0.557569,1972,1615,0.818966,1000,615,972
DS001_DS002_ResEncL_3D_TTA,MSL_0115,0.635736,25.2230,0.348767,0.524875,0.805970,0.635736,9568,6231,0.651233,5022,1209,4546
DS001_DS003_CNN_3D_TTA,MSL_0094,0.769492,37.1214,0.214715,0.852102,0.701483,0.769492,1332,1618,1.214715,1135,483,197
DS001_DS003_CNN_3D_TTA,MSL_0095,0.683615,22.6495,0.149933,0.632367,0.743902,0.683615,5209,4428,0.850067,3294,1134,1915
DS001_DS003_CNN_3D_TTA,MSL_0096,0.773546,15.4267,0.068985,0.746864,0.802205,0.773546,1754,1633,0.931015,1310,323,444
DS001_DS003_CNN_3D_TTA,MSL_0097,0.731186,11.1803,0.327046,0.611621,0.908860,0.731186,42098,28330,0.672954,25748,2582,16350
