model,case,dice,hd95,avd,recall,precision,f1,gt_vol,pred_vol,vol_ratio,tp,fp,fn
DS002_ResEncL_3D,WMH_0061,0.778889,3.0000,0.140496,0.724174,0.842548,0.778889,968,832,0.859504,701,131,267
DS002_ResEncL_3D,WMH_0062,0.890158,1.2999,0.041604,0.871641,0.909479,0.890158,14662,14052,0.958396,12780,1272,1882
DS002_ResEncL_3D,WMH_0063,0.849015,1.3001,0.039041,0.865588,0.833065,0.849015,1793,1863,1.039041,1552,311,241
DS002_ResEncL_3D,WMH_0064,0.576369,15.6512,0.082873,0.552486,0.602410,0.576369,181,166,0.917127,100,66,81
DS002_ResEncL_3D,WMH_0065,0.890049,1.3001,0.007587,0.893425,0.886698,0.890049,2768,2789,1.007587,2473,316,295
DS002_ResEncL_3D,WMH_0066,0.819815,1.7767,0.090648,0.856972,0.785746,0.819815,4181,4560,1.090648,3583,977,598
DS002_ResEncL_3D,WMH_0067,0.698055,11.8189,0.030242,0.687500,0.708940,0.698055,496,481,0.969758,341,140,155
DS002_ResEncL_3D,WMH_0068,0.725076,7.1613,0.267016,0.628272,0.857143,0.725076,191,140,0.732984,120,20,71
DS002_ResEncL_3D,WMH_0069,0.757774,3.0000,0.029900,0.769103,0.746774,0.757774,1806,1860,1.029900,1389,471,417
DS002_ResEncL_3D,WMH_0070,0.845303,1.7766,0.007006,0.848264,0.842362,0.845303,6709,6756,1.007006,5691,1065,1018
DS002_ResEncL_3D,WMH_0071,0.866391,1.2000,0.001911,0.867219,0.865565,0.866391,6281,6293,1.001911,5447,846,834
DS002_ResEncL_3D,WMH_0072,0.886685,1.5472,0.005097,0.884425,0.888956,0.886685,13342,13274,0.994903,11800,1474,1542
DS002_ResEncL_3D,WMH_0073,0.638454,10.4186,0.417758,0.505095,0.867500,0.638454,687,400,0.582242,347,53,340
DS002_ResEncL_3D,WMH_0074,0.922947,1.2000,0.086221,0.883159,0.966490,0.922947,11169,10206,0.913779,9864,342,1305
