dataset,strategy,dice_mean,dice_median,hd95_mean,hd95_median,sens_mean,ppv_mean,nsd_mean,avd_mean,l_sens,l_ppv,l_f1,l_tp,l_fn,l_fp
DS001,TTA_thr_0.30,0.681394,0.699479,20.802350,14.766065,0.663857,0.739511,0.828680,0.280265,0.675000,0.869693,0.760077,594,286,89
DS001,TTA_thr_0.30_rm_3mm3,0.681334,0.699440,21.417002,16.566270,0.663768,0.739497,0.828069,0.280358,0.664773,0.873134,0.754839,585,295,85
DS001,TTA_thr_0.30_rm_5mm3,0.681264,0.699358,21.733016,18.620637,0.663581,0.739542,0.827406,0.280211,0.655682,0.879573,0.751302,577,303,79
DS001,TTA_thr_0.30_rm_10mm3,0.680945,0.698808,21.822922,19.281653,0.662876,0.739667,0.825803,0.280242,0.638636,0.892063,0.744371,562,318,68
DS001,TTA_thr_0.35,0.680932,0.698728,20.784715,14.801122,0.661769,0.741226,0.828334,0.280898,0.675000,0.870968,0.760563,594,286,88
DS001,TTA_thr_0.35_rm_3mm3,0.680854,0.698686,21.401769,16.607040,0.661650,0.741201,0.827529,0.280967,0.662500,0.872754,0.753230,583,297,85
DS001,TTA_thr_0.35_rm_5mm3,0.680815,0.698522,21.723876,18.626349,0.661497,0.741283,0.827072,0.280892,0.653409,0.881902,0.750653,575,305,77
DS001,TTA_thr_0.40,0.680449,0.698223,20.777290,14.819094,0.659695,0.743027,0.827914,0.282105,0.671591,0.869118,0.757692,591,289,89
DS002,TTA_thr_0.30,0.779329,0.806548,7.120342,3.152153,0.782456,0.806445,0.907202,0.195898,0.699390,0.850447,0.767557,5044,2168,887
DS002,TTA_thr_0.35,0.778801,0.806633,7.142312,3.168920,0.778820,0.809783,0.906843,0.195538,0.696339,0.851475,0.766133,5022,2190,876
DS002,TTA_thr_0.30_rm_3mm3,0.778616,0.806074,7.487306,3.189826,0.781294,0.806696,0.904525,0.196403,0.662923,0.868483,0.751907,4781,2431,724
DS002,TTA_thr_0.40,0.778372,0.806555,7.180434,3.168920,0.775601,0.812810,0.906215,0.195522,0.692318,0.852630,0.764157,4993,2219,863
DS002,TTA_thr_0.35_rm_3mm3,0.778068,0.805927,7.588495,3.227898,0.777615,0.810078,0.904111,0.196064,0.659318,0.871198,0.750592,4755,2457,703
DS002,TTA_thr_0.45,0.778013,0.806145,7.209498,3.188905,0.772591,0.815697,0.905893,0.195399,0.689545,0.853587,0.762847,4973,2239,853
DS002,TTA_thr_0.30_rm_5mm3,0.777647,0.804976,7.664236,3.772152,0.779174,0.806957,0.902065,0.196168,0.614254,0.891886,0.727482,4430,2782,537
DS002,TTA_thr_0.40_rm_3mm3,0.777629,0.805878,7.616889,3.216673,0.774412,0.813099,0.903492,0.196007,0.655990,0.872074,0.748754,4731,2481,694
