dataset,strategy,dice_mean,dice_median,hd95_mean,hd95_median,sensitivity_mean,ppv_mean,nsd_mean,avd_mean,lesion_sensitivity,lesion_ppv,lesion_f1,lesion_tp,lesion_fn,lesion_fp,lesion_n_gt
DS001,baseline,0.673992,0.698732,22.060136,16.679865,0.661468,0.724037,0.823999,0.272713,0.688636,0.838174,0.756082,606,274,117,880
DS001,remove_lt_3mm3,0.674018,0.698872,22.930540,18.790486,0.661383,0.724213,0.823240,0.272853,0.676136,0.856115,0.755556,595,285,100,880
DS001,remove_lt_5mm3,0.673856,0.698791,22.986267,18.790486,0.661111,0.724197,0.821930,0.272954,0.663636,0.858824,0.748718,584,296,96,880
DS001,remove_lt_10mm3,0.673633,0.698200,23.508261,21.286921,0.660342,0.724710,0.819702,0.273203,0.643182,0.869432,0.739386,566,314,85,880
DS001,remove_lt_15mm3,0.673353,0.697812,24.007344,21.289111,0.658854,0.726169,0.818049,0.273096,0.619318,0.881877,0.727637,545,335,73,880
DS001,remove_lt_20mm3,0.672775,0.697098,24.580140,23.396637,0.657507,0.726637,0.816017,0.274398,0.602273,0.890756,0.718644,530,350,65,880
DS001,remove_lt_30mm3,0.670087,0.695485,24.796176,23.394448,0.652559,0.726952,0.809034,0.279364,0.559091,0.899452,0.689559,492,388,55,880
DS001,remove_lt_50mm3,0.659248,0.673439,26.503460,25.323935,0.632018,0.732478,0.784841,0.302532,0.462500,0.918736,0.615268,407,473,36,880
DS001,remove_3_fill_5mm3,0.674018,0.698872,22.930540,18.790486,0.661383,0.724213,0.823240,0.272853,0.676136,0.856115,0.755556,595,285,100,880
DS001,remove_3_fill_10mm3,0.674018,0.698872,22.930540,18.790486,0.661383,0.724213,0.823240,0.272853,0.676136,0.856115,0.755556,595,285,100,880
DS001,remove_3_fill_20mm3,0.674018,0.698872,22.930540,18.790486,0.661383,0.724213,0.823240,0.272853,0.676136,0.856115,0.755556,595,285,100,880
DS002,baseline,0.774212,0.801050,7.149340,3.250319,0.767855,0.811277,0.903782,0.195863,0.690793,0.841696,0.758815,4982,2230,937,7212
DS002,remove_lt_3mm3,0.773407,0.800201,7.369851,3.391004,0.766571,0.811545,0.900683,0.196429,0.653633,0.863212,0.743944,4714,2498,747,7212
DS002,remove_lt_5mm3,0.772479,0.799368,7.928748,4.128675,0.764397,0.812288,0.897814,0.197531,0.600250,0.887454,0.716129,4329,2883,549,7212
DS002,remove_lt_10mm3,0.767814,0.793881,9.333564,4.738908,0.756148,0.813663,0.888205,0.201115,0.485441,0.926436,0.637067,3501,3711,278,7212
DS002,remove_lt_15mm3,0.761568,0.791822,10.967889,6.219307,0.745714,0.814350,0.878056,0.206062,0.398087,0.948151,0.560742,2871,4341,157,7212
DS002,remove_lt_20mm3,0.758113,0.787315,12.304331,6.670427,0.739683,0.815444,0.872058,0.209707,0.352884,0.963650,0.516594,2545,4667,96,7212
DS002,remove_lt_30mm3,0.750425,0.780952,14.141107,8.005772,0.727021,0.816502,0.860240,0.219337,0.287992,0.969655,0.444088,2077,5135,65,7212
DS002,remove_lt_50mm3,0.736412,0.773386,17.527429,10.151762,0.706337,0.819907,0.838916,0.234432,0.226012,0.987879,0.367863,1630,5582,20,7212
DS002,remove_3_fill_5mm3,0.773407,0.800201,7.369851,3.391004,0.766575,0.811542,0.900673,0.196427,0.653633,0.863212,0.743944,4714,2498,747,7212
DS002,remove_3_fill_10mm3,0.773410,0.800201,7.366695,3.391004,0.766579,0.811543,0.900680,0.196430,0.653633,0.863212,0.743944,4714,2498,747,7212
DS002,remove_3_fill_20mm3,0.773405,0.799902,7.366695,3.391004,0.766580,0.811532,0.900670,0.196443,0.653633,0.863212,0.743944,4714,2498,747,7212
